1,11,0.144
11,1,0.144
1,6,0.487
6,1,0.487
1,10,0.508
10,1,0.508
1,12,0.590
12,1,0.590
1,5,0.789
5,1,0.789
1,4,0.911
4,1,0.911
2,3,0.560
3,2,0.560
2,7,0.936
7,2,0.936
3,7,0.376
7,3,0.376
3,9,0.424
9,3,0.424
4,5,0.124
5,4,0.124
4,12,0.327
12,4,0.327
4,10,0.403
10,4,0.403
4,6,0.424
6,4,0.424
4,11,0.767
11,4,0.767
4,8,1.014
8,4,1.014
5,12,0.203
12,5,0.203
5,10,0.281
10,5,0.281
5,6,0.302
6,5,0.302
5,11,0.645
11,5,0.645
5,9,0.755
9,5,0.755
5,8,0.903
8,5,0.903
6,10,0.022
10,6,0.022
6,12,0.108
12,6,0.108
6,11,0.343
11,6,0.343
6,9,0.605
9,6,0.605
7,8,0.364
8,7,0.364
8,9,0.182
9,8,0.182
8,12,0.740
12,8,0.740
9,11,0.587
11,9,0.587
9,10,0.608
10,9,0.608
9,12,0.614
12,9,0.614
10,12,0.087
12,10,0.087
10,11,0.365
11,10,0.365
11,12,0.446
12,11,0.446
